iter	Passed	Remaining
0	165	165711
1	169	84415
2	170	56729
3	172	42936
4	174	34672
5	176	29176
6	178	25251
7	180	22350
8	182	20042
9	183	18201
10	185	16698
11	187	15439
12	189	14374
13	191	13452
14	192	12659
15	194	11959
16	196	11352
17	198	10805
18	199	10307
19	201	9854
20	202	9450
21	204	9087
22	206	8750
23	207	8438
24	209	8156
25	211	7906
26	212	7671
27	214	7445
28	216	7237
29	217	7042
30	219	6856
31	220	6679
32	222	6513
33	223	6356
34	225	6215
35	227	6083
36	228	5956
37	230	5834
38	232	5718
39	233	5608
40	235	5502
41	237	5412
42	239	5320
43	240	5230
44	242	5145
45	244	5067
46	245	4987
47	247	4908
48	249	4836
49	250	4763
50	252	4694
51	253	4628
52	255	4566
53	257	4504
54	258	4448
55	260	4394
56	262	4340
57	264	4288
58	265	4237
59	267	4188
60	268	4139
61	270	4091
62	272	4045
63	273	4004
64	276	3972
65	278	3935
66	279	3896
67	281	3859
68	283	3823
69	285	3788
70	286	3754
71	288	3720
72	290	3690
73	292	3659
74	294	3627
75	295	3595
76	297	3563
77	298	3532
78	300	3502
79	301	3472
80	303	3444
81	305	3418
82	307	3393
83	308	3368
84	310	3342
85	312	3317
86	313	3292
87	315	3268
88	317	3245
89	318	3222
90	320	3201
91	322	3180
92	324	3159
93	325	3138
94	327	3117
95	328	3097
96	330	3077
97	332	3057
98	333	3036
99	335	3018
100	337	3002
101	339	2985
102	340	2969
103	342	2951
104	344	2932
105	345	2916
106	347	2900
107	349	2883
108	350	2868
109	352	2852
110	354	2840
111	356	2826
112	358	2814
113	360	2801
114	362	2787
115	363	2772
116	365	2758
117	367	2745
118	369	2734
119	371	2722
120	373	2709
121	374	2696
122	376	2684
123	378	2672
124	380	2660
125	381	2649
126	383	2637
127	385	2627
128	387	2615
129	389	2603
130	390	2591
131	392	2579
132	394	2568
133	395	2557
134	397	2545
135	398	2534
136	400	2523
137	402	2513
138	404	2503
139	405	2492
140	407	2481
141	409	2471
142	410	2460
143	412	2450
144	413	2440
145	415	2431
146	417	2422
147	419	2412
148	420	2403
149	422	2393
150	423	2383
151	425	2373
152	427	2363
153	428	2355
154	430	2348
155	432	2341
156	434	2333
157	436	2326
158	438	2318
159	440	2310
160	441	2301
161	443	2294
162	445	2285
163	446	2276
164	448	2268
165	450	2260
166	451	2252
167	453	2244
168	454	2236
169	456	2228
170	458	2220
171	459	2212
172	461	2204
173	462	2197
174	464	2190
175	466	2183
176	468	2176
177	469	2169
178	471	2161
179	472	2154
180	474	2146
181	475	2138
182	477	2131
